Date,Open,High,Low,Close,Adj Close,Volume
2017-08-21,345.820007,345.820007,331.850006,337.859985,337.859985,6495400
2017-08-22,341.130005,342.23999,337.369995,341.350006,341.350006,4322000
2017-08-23,338.98999,353.48999,338.299988,352.769989,352.769989,4954500
2017-08-24,352.519989,356.660004,349.73999,352.929993,352.929993,4584700
2017-08-25,354.23999,355.690002,347.299988,348.049988,348.049988,3484000
2017-08-28,347.27999900000003,347.350006,339.72000099999997,345.660004,345.660004,3764000
2017-08-29,339.480011,349.049988,338.75,347.359985,347.359985,4073700
2017-08-30,349.670013,353.47000099999997,347.0,353.179993,353.179993,3412900
2017-08-31,353.549988,358.440002,352.820007,355.899994,355.899994,4072800
2017-09-01,356.119995,357.589996,353.690002,355.399994,355.399994,3049500
2017-09-05,353.799988,355.48999,345.890015,349.589996,349.589996,3835100
2017-09-06,349.5,350.980011,341.559998,344.52999900000003,344.52999900000003,4091400
2017-09-07,345.980011,352.480011,343.450012,350.609985,350.609985,4239200
2017-09-08,348.98999,349.77999900000003,342.299988,343.399994,343.399994,3257600
2017-09-11,351.350006,363.709991,350.0,363.690002,363.690002,7667100
2017-09-12,364.48999,368.76001,360.399994,362.75,362.75,5972900
2017-09-13,363.820007,368.070007,359.589996,366.230011,366.230011,4185200
2017-09-14,364.329987,377.959991,362.630005,377.640015,377.640015,7202500
2017-09-15,374.51001,380.0,372.700012,379.809998,379.809998,5420500
2017-09-18,380.25,389.609985,377.679993,385.0,385.0,7188000
2017-09-19,380.0,382.390015,373.570007,375.100006,375.100006,6451900
2017-09-20,373.0,378.25,371.070007,373.910004,373.910004,4902800
